CG,Name,BW,Cor for Pol,Polarizer loss,Sampling,t refl
HLC,HLC_CG,10%,1,1,0.3,0.566
SPC_170714_REQF,SPC_170714_REQF,18%,0,1,0.2,0.379
SPC_170714_CBEF,SPC_170714_CBEF,18%,0,1,0.2,0.379
SPC 20140901_0.4,SPC_20140901_0.4,18%,0,0.48,0.2,0.379
IP_160627_660,IP_request_160625_660,18%,0,1,0.2,0.379
IP_160627_770,IP_request_160625_770,18%,0,1,0.2,0.379
B2.2Fit565,B22_FIT_565,10%,1,1,0.3,0.566
G2.2Req565,G22_REQ_565,10%,1,1,0.3,0.566
SPC_20170501,SPC_20170501,18%,0,1,0.2,0.379
SPC_20152016,SPC_20152016,18%,0,1,0.2,0.379
SPC_CGI212,SPC_CGI_2_12,18%,0,1,0.2,0.379
L3Fit660,L3_FIT_660,18%,0,1,0.2,0.379
L3Fit770,L3_FIT_770,18%,0,1,0.2,0.379
B2.2Req565,B22_REQ_565,10%,1,1,0.3,0.566
G2.2Req565,G22_REQ_565,10%,1,1,0.3,0.566
HLC140623.4,HLC_140623all.4,10%,0,1,0.3,0.566
HLC161025.4,HLC_161025all.4,10%,0,1,0.3,0.566
HLC161228.4,HLC_161228all.4,10%,0,1,0.3,0.566
