r(lam/D),r(arcsec),I,contrast,core_thruput,PSF_peak,area(sq_arcsec),occ*lyot
2.7,0.128699,1.95E-11,9.51E-09,0.01356,0.00179,0.00204,0.00000
3.0,0.142999,1.60E-11,5.06E-09,0.02170,0.00298,0.00201,0.37214
3.3,0.157299,7.55E-12,1.83E-09,0.02985,0.00417,0.00198,0.37214
3.6,0.171598,3.08E-12,6.50E-10,0.03453,0.00469,0.00207,0.37214
3.9,0.185898,5.32E-12,1.08E-09,0.03630,0.00494,0.00207,0.37214
4.2,0.200198,1.03E-11,1.96E-09,0.03855,0.00522,0.00208,0.37214
4.5,0.214498,1.01E-11,1.82E-09,0.04079,0.00551,0.00209,0.37214
4.8,0.228798,5.00E-12,8.79E-10,0.04240,0.00568,0.00211,0.37214
5.1,0.243098,2.22E-12,3.89E-10,0.04235,0.00570,0.00210,0.37214
5.4,0.257398,4.15E-12,7.26E-10,0.04230,0.00571,0.00209,0.37214
5.7,0.271698,6.49E-12,1.14E-09,0.04231,0.00569,0.00210,0.37214
6.0,0.285997,6.28E-12,1.11E-09,0.04232,0.00567,0.00211,0.37214
6.3,0.300297,3.95E-12,6.98E-10,0.04219,0.00565,0.00211,0.37214
6.6,0.314597,2.37E-12,4.20E-10,0.04206,0.00563,0.00211,0.37214
6.9,0.328897,3.06E-12,5.45E-10,0.04192,0.00562,0.00211,0.37214
7.2,0.343197,4.08E-12,7.28E-10,0.04179,0.00560,0.00211,0.37214
7.5,0.357497,3.89E-12,6.96E-10,0.04168,0.00558,0.00211,0.37214
7.8,0.371797,2.70E-12,4.85E-10,0.04158,0.00557,0.00211,0.37214
8.1,0.386097,2.00E-12,3.61E-10,0.04147,0.00555,0.00211,0.37214
8.4,0.400396,2.18E-12,3.92E-10,0.04151,0.00556,0.00211,0.37214
8.7,0.414696,2.40E-12,4.30E-10,0.03312,0.00557,0.00164,0.37214
9.0,0.428996,2.36E-12,4.24E-10,0.01741,0.00558,0.00091,0.37214
9.3,0.443296,2.25E-12,4.04E-10,0.00683,0.00558,0.00052,0.37214
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
