No.,NAME,V,DIST,Spec,A,V Comp.,Comp. Bright. Frac,Use Spec,Interim Albedos,Rp / R_J,HD
1,beta Gem b,1.15,10.4,K0IIIb,1.76,99.0,0.00,k0v,0.25,1.18,62509
2,gamma Cep b,3.21,14.1,K1IV,1.98,99.0,0.00,k0v,0.25,1.22,222404
3,HD 147513 b,5.37,12.8,G5V,1.31,99.0,0.00,g5v,0.25,1.91,147513
4,HD 192310 c,5.73,8.9,K2+V,1.18,99.0,0.00,k0v,0.25,0.49,192310
5,upsilon And d,4.1,13.5,F9V,2.52,99.0,0.00,f5v,0.25,1.15,9826
6,epsilon Eri b,3.72,3.2,K2Vk:,3.376,99.0,0.00,k0v,0.25,1.54,22049
7,47 UMa b,5.03,14.1,G1V,2.10,99.0,0.00,g0v,0.25,1.19,95128
8,HD 10647 b,5.52,17.4,F9V,2.02,99.0,0.00,f5v,0.25,1.24,10647
9,47 UMa c,5.03,14.1,G1V,3.57,99.0,0.00,g0v,0.25,1.27,95128
10,HD 39091 b,5.65,18.3,G0V,3.35,99.0,0.00,g0v,0.25,1.11,39091
11,HD 114613 b,4.85,20.7,G3IV,5.31,99.0,0.00,g5v,0.25,1.28,114613
12,HD 128311 c,7.48,16.5,K3V,1.75,99.0,0.00,k5v,0.25,1.18,128311
13,Gliese 777 b,5.73,15.9,G7IV-V,3.97,99.0,0.00,g5v,0.25,1.21,190360
14,mu Ara e,5.12,15.5,G3IV-V,5.34,99.0,0.00,g5v,0.25,1.21,160691
15,14 Her b,6.61,17.6,K0V,2.93,99.0,0.00,k0v,0.25,1.16,145675
16,HD 89307 b,7.02,32.4,G0V,3.27,99.0,0.00,g0v,0.25,1.21,89307
17,55 Cnc d,5.96,12.3,G8V,5.47,99.0,0.00,g5v,0.25,1.16,75732
18,HD 70642 b,7.17,28.1,G6VCN+0.5,3.18,99.0,0.00,g5v,0.25,1.21,70642
19,HD 217107 c,6.17,19.9,G8IV,5.33,99.0,0.00,g5v,0.25,1.18,217107
20,HD 154345 b,6.76,18.6,G8V,4.21,99.0,0.00,g5v,0.25,1.23,154345
21,HD 117207 b,7.26,33.0,G7IV-V,3.74,99.0,0.00,g5v,0.25,1.21,117207
22,HD 134987 c,6.47,26.2,G6IV-V,5.83,99.0,0.00,g5v,0.25,1.23,134987
23,HD 87883 b,7.57,18.2,K0V,3.58,99.0,0.00,k0v,0.25,1.21,87883
24,HD 222155 b,7.12,49.1,G0,5.14,99.0,0.00,g0v,0.25,1.20,222155
25,HD 181433 d,8.38,26.8,K3III-IV,3.02,99.0,0.00,k5v,0.25,1.28,181433
26,HD 24040 b,7.5,46.6,G0,4.92,99.0,0.00,g0v,0.25,1.17,24040
27,HD 13931 b,7.61,44.2,G0,5.15,99.0,0.00,g0v,0.25,1.20,13931
28,HD 187123 c,7.83,48.3,G5,4.83,99.0,0.00,g5v,0.25,1.20,187123
29,GJ 832 b,8.66,5.0,M1.5,3.56,99.0,0.00,m0v,0.25,1.27,204961
30,HD 30562 b,5.77,26.4,F8V,2.34,99.0,0.00,f5v,0.25,1.22,30562
31,HD 142 c,5.7,20.6,F7V,6.80,99.0,0.00,f5v,0.25,1.15,142
32,nu Oph c,3.34,46.8,G9III,6.10,99.0,0.00,g5v,0.25,1.07,163917 
33,psi Dra B b,5.81,22.0,F5IV,4.43,99.0,0.00,f5v,0.25,1.21,None
34,HD 169830 c,5.9,36.6,F7V,3.60,99.0,0.00,f5v,0.25,1.17,169830
36,Fid2: Sun10 J3au ,5,10,G1V,3.00,99.0,0.00,g0v,0.28,1.00,
37,Fid1: 47 UMbc2 ,5,12,G1V,2.85,99.0,0.00,g0v,0.28,1.00,
38,NEFR Synth Pl,0,10,G1V,0,99.0,0.00,g5v,0.25,1.00,
39,superEarth Cand,4,6,G2V,1,99.0,0.00,g0v,0.0969,0.22,
41,* alf Cen B,1.33,1.3,K1V,1.50,0.0,3.37,k0v,0.25,0.65,
42,* alf Cen A,0.01,1.3,G2V,1.50,1.3,0.30,g0v,0.25,0.65,
43,* eps Eri,3.73,3.2,K2Vk:,3.00,17.3,0.00,k0v,0.25,0.65,
44,*  61 Cyg A,5.21,3.5,K5Ve,3.00,6.1,0.46,k5v,0.25,0.65,
45,*  61 Cyg B,6.05,3.5,K7Ve,3.00,5.3,1.96,k5v,0.25,0.65,
