r(lam/D),r(arcsec),I,contrast,core_thput,PSF_peak,area(sq_arcsec,occ_trans
2.60,0.181026,9.24E-12,1.37E-08,0.01394,0.00068,0.00459,0.09863
2.80,0.194951,7.98E-12,8.29E-09,0.01803,0.00096,0.00460,0.12764
3.00,0.208876,6.47E-12,5.32E-09,0.02209,0.00122,0.00467,0.15636
3.20,0.222801,4.72E-12,3.37E-09,0.02577,0.00140,0.00479,0.18240
3.40,0.236726,5.06E-12,3.33E-09,0.02907,0.00152,0.00498,0.20577
3.60,0.250651,3.52E-12,2.21E-09,0.03109,0.00160,0.00503,0.22006
3.80,0.264576,3.30E-12,1.99E-09,0.03286,0.00166,0.00509,0.23257
4.00,0.278501,2.91E-12,1.70E-09,0.03437,0.00172,0.00514,0.24328
4.20,0.292426,2.41E-12,1.37E-09,0.03563,0.00176,0.00519,0.25220
4.40,0.306351,1.96E-12,1.09E-09,0.03664,0.00179,0.00524,0.25934
4.60,0.320276,2.10E-12,1.16E-09,0.03739,0.00182,0.00528,0.26468
4.80,0.334201,2.69E-12,1.47E-09,0.03790,0.00183,0.00533,0.26824
5.00,0.348126,3.39E-12,1.85E-09,0.03815,0.00183,0.00536,0.27000
5.20,0.362051,4.33E-12,2.37E-09,0.03814,0.00183,0.00540,0.26997
5.40,0.375976,4.02E-12,2.22E-09,0.03789,0.00181,0.00543,0.26816
5.60,0.389901,4.11E-12,2.31E-09,0.03738,0.00178,0.00546,0.26455
5.80,0.403826,4.18E-12,2.40E-09,0.03661,0.00174,0.00548,0.25916
6.00,0.417751,4.56E-12,2.70E-09,0.03560,0.00169,0.00551,0.25198
6.20,0.431677,5.12E-12,3.04E-09,0.03550,0.00169,0.00550,0.25129
6.40,0.445602,4.50E-12,2.68E-09,0.03533,0.00168,0.00549,0.25009
6.60,0.459527,4.41E-12,2.63E-09,0.03509,0.00168,0.00547,0.24838
6.80,0.473452,4.25E-12,2.55E-09,0.03478,0.00167,0.00544,0.24615
7.00,0.487377,4.65E-12,2.81E-09,0.03439,0.00166,0.00541,0.24341
7.20,0.501302,5.22E-12,3.17E-09,0.03393,0.00165,0.00536,0.24015
7.40,0.515227,5.41E-12,3.31E-09,0.03340,0.00163,0.00532,0.23638
7.60,0.529152,4.99E-12,3.09E-09,0.03279,0.00162,0.00526,0.23209
7.80,0.543077,4.67E-12,2.91E-09,0.03211,0.00160,0.00520,0.22729
8.00,0.557002,4.27E-12,2.70E-09,0.03136,0.00158,0.00513,0.22198
8.20,0.570927,4.56E-12,3.10E-09,0.02843,0.00147,0.00501,0.20124
8.40,0.584852,6.17E-12,4.61E-09,0.02505,0.00134,0.00487,0.17729
8.60,0.598777,9.28E-12,8.34E-09,0.02095,0.00111,0.00475,0.14830
8.80,0.612702,1.26E-11,1.55E-08,0.01623,0.00082,0.00463,0.11490
9.00,0.626627,1.58E-11,3.00E-08,0.01196,0.00053,0.00461,0.08467
