r_lamD,r_arcsec,I,contrast,core_thput,PSF_peak,area_sq_as,occ_trans
2.60,0.181026,7.76E-12,1.10E-08,0.01299,0.00071,0.00465,0.04267
2.80,0.194951,5.78E-12,6.42E-09,0.01775,0.00090,0.00504,0.05641
3.00,0.208876,4.62E-12,4.18E-09,0.02056,0.00110,0.00465,0.07036
3.20,0.222801,3.90E-12,3.12E-09,0.02623,0.00125,0.00543,0.08346
3.40,0.236726,3.96E-12,2.87E-09,0.02757,0.00138,0.00504,0.09491
3.60,0.250651,4.55E-12,3.11E-09,0.03084,0.00146,0.00543,0.10427
3.80,0.264576,5.85E-12,3.88E-09,0.03212,0.00151,0.00543,0.11150
4.00,0.278501,7.12E-12,4.65E-09,0.03294,0.00153,0.00543,0.11681
4.20,0.292426,8.04E-12,5.21E-09,0.03344,0.00155,0.00543,0.12061
4.40,0.306351,8.49E-12,5.47E-09,0.03375,0.00155,0.00543,0.12333
4.60,0.320276,9.00E-12,5.77E-09,0.03393,0.00156,0.00543,0.12542
4.80,0.334201,9.76E-12,6.24E-09,0.03403,0.00156,0.00543,0.12719
5.00,0.348126,1.08E-11,6.93E-09,0.03406,0.00157,0.00543,0.12889
5.20,0.362051,1.19E-11,7.58E-09,0.03401,0.00156,0.00543,0.13061
5.40,0.375976,1.23E-11,7.86E-09,0.03391,0.00156,0.00543,0.13233
5.60,0.389901,1.17E-11,7.55E-09,0.03375,0.00155,0.00543,0.13397
5.80,0.403826,1.09E-11,7.10E-09,0.03356,0.00154,0.00543,0.13545
6.00,0.417751,1.01E-11,6.63E-09,0.03336,0.00153,0.00543,0.13670
6.20,0.431676,9.68E-12,6.37E-09,0.03317,0.00152,0.00543,0.13771
6.40,0.445601,9.48E-12,6.27E-09,0.03303,0.00151,0.00543,0.13852
6.60,0.459526,9.30E-12,6.16E-09,0.03294,0.00151,0.00543,0.13916
6.80,0.473452,9.18E-12,6.08E-09,0.03291,0.00151,0.00543,0.13961
7.00,0.487377,9.08E-12,6.00E-09,0.03293,0.00151,0.00543,0.13976
7.20,0.501302,8.91E-12,5.88E-09,0.03296,0.00152,0.00543,0.13933
7.40,0.515227,8.45E-12,5.56E-09,0.03292,0.00152,0.00543,0.13785
7.60,0.529152,7.56E-12,4.97E-09,0.03265,0.00152,0.00543,0.13467
7.80,0.543077,6.49E-12,4.32E-09,0.03189,0.00150,0.00543,0.12911
8.00,0.557002,5.95E-12,4.10E-09,0.03056,0.00145,0.00543,0.12060
8.20,0.570927,6.35E-12,4.71E-09,0.02836,0.00135,0.00543,0.10896
8.40,0.584852,7.82E-12,6.47E-09,0.02397,0.00121,0.00504,0.09454
8.60,0.598777,9.60E-12,9.39E-09,0.02117,0.00102,0.00543,0.07830
8.80,0.612702,1.11E-11,1.36E-08,0.01595,0.00082,0.00504,0.06162
9.00,0.626627,1.16E-11,1.94E-08,0.01234,0.00060,0.00543,0.04598
