r(lam/D),r(arcsec),I,contrast,core_thput,PSF_peak,area(sq_arcsec,occ_trans
2.6,1.81E-01,9.24E-12,1.10E-05,1.39E-02,6.76E-04,4.59E-03,9.86E-02
2.8,1.95E-01,7.98E-12,1.00E-05,1.80E-02,9.62E-04,4.60E-03,1.28E-01
3,2.09E-01,6.47E-12,9.40E-06,2.21E-02,1.22E-03,4.67E-03,1.56E-01
3.2,2.23E-01,4.72E-12,8.00E-06,2.58E-02,1.40E-03,4.79E-03,1.82E-01
3.4,2.37E-01,5.06E-12,7.00E-06,2.91E-02,1.52E-03,4.98E-03,2.06E-01
3.6,2.51E-01,3.52E-12,6.00E-06,3.11E-02,1.60E-03,5.03E-03,2.20E-01
3.8,2.65E-01,3.30E-12,5.00E-06,3.29E-02,1.66E-03,5.09E-03,2.33E-01
4,2.79E-01,2.91E-12,4.20E-06,3.44E-02,1.72E-03,5.14E-03,2.43E-01
4.2,2.92E-01,2.41E-12,3.00E-06,3.56E-02,1.76E-03,5.19E-03,2.52E-01
4.4,3.06E-01,1.96E-12,2.20E-06,3.66E-02,1.79E-03,5.24E-03,2.59E-01
4.6,3.20E-01,2.10E-12,1.70E-06,3.74E-02,1.82E-03,5.28E-03,2.65E-01
4.8,3.34E-01,2.69E-12,1.40E-06,3.79E-02,1.83E-03,5.33E-03,2.68E-01
5,3.48E-01,3.39E-12,1.00E-06,3.81E-02,1.83E-03,5.36E-03,2.70E-01
5.2,3.62E-01,4.33E-12,1.10E-06,3.81E-02,1.83E-03,5.40E-03,2.70E-01
5.4,3.76E-01,4.02E-12,1.20E-06,3.79E-02,1.81E-03,5.43E-03,2.68E-01
5.6,3.90E-01,4.11E-12,1.30E-06,3.74E-02,1.78E-03,5.46E-03,2.65E-01
5.8,4.04E-01,4.18E-12,1.40E-06,3.66E-02,1.74E-03,5.48E-03,2.59E-01
6,4.18E-01,4.56E-12,1.50E-06,3.56E-02,1.69E-03,5.51E-03,2.52E-01
6.2,4.32E-01,5.12E-12,1.70E-06,3.55E-02,1.69E-03,5.50E-03,2.51E-01
6.4,4.46E-01,4.50E-12,2.00E-06,3.53E-02,1.68E-03,5.49E-03,2.50E-01
6.6,4.60E-01,4.41E-12,2.40E-06,3.51E-02,1.68E-03,5.47E-03,2.48E-01
6.8,4.73E-01,4.25E-12,2.80E-06,3.48E-02,1.67E-03,5.44E-03,2.46E-01
7,4.87E-01,4.65E-12,3.00E-06,3.44E-02,1.66E-03,5.41E-03,2.43E-01
7.2,5.01E-01,5.22E-12,3.10E-06,3.39E-02,1.65E-03,5.36E-03,2.40E-01
7.4,5.15E-01,5.41E-12,3.30E-06,3.34E-02,1.63E-03,5.32E-03,2.36E-01
7.6,5.29E-01,4.99E-12,3.50E-06,3.28E-02,1.62E-03,5.26E-03,2.32E-01
7.8,5.43E-01,4.67E-12,3.10E-06,3.21E-02,1.60E-03,5.20E-03,2.27E-01
8,5.57E-01,4.27E-12,2.80E-06,3.14E-02,1.58E-03,5.13E-03,2.22E-01
8.2,5.71E-01,4.56E-12,2.70E-06,2.84E-02,1.47E-03,5.01E-03,2.01E-01
8.4,5.85E-01,6.17E-12,2.60E-06,2.50E-02,1.34E-03,4.87E-03,1.77E-01
8.6,5.99E-01,9.28E-12,2.40E-06,2.10E-02,1.11E-03,4.75E-03,1.48E-01
8.8,6.13E-01,1.26E-11,2.20E-06,1.62E-02,8.15E-04,4.63E-03,1.15E-01
9,0.626627,1.57813E-11,0.000002,0.011962503,0.000525366,0.004609061,0.084671251
