Scenario,Center lam,BW,R,Coronagraph,Years at L2,f_pp,FP type,"t integ, hrs",SNR,Ref  Dmag
SPC IFS1 REQ,660,0.18,50,SPC_170714_REQF,1,0.1,IFS,240,10,3
SPC IFS1 CBE,660,0.18,50,SPC_170714_CBEF,1,0.1,IFS,240,10,3
SPC IFS 2 REQ,770,0.18,50,SPC_170714_REQF,1,0.1,IFS,240,10,3
SPC IFS2 CBE,770,0.18,50,SPC 20140901_0.4,1,0.1,IFS,250,10,3
HLC IMG 1,508,0.1,0,HLC161228.4,3,0.1,Imaging,300,5,3
HLC IMG 2,575,0.1,0,HLC161228.4,3,0.1,Imaging,24,5,3
SuperEarth,565,0.1,0,HLC161025.4,3,0.1,Imaging,100,5,3
NBF Spectroscopy,660,0.02,0,G2.2Fit565,3,0.1,Imaging,200,10,3
L3 23 Disk DI ,565,0.1,0,HLC161228.4,3,0.2,Imaging,24,5,3
CGI 12.2,660,0.18,50,SPC_CGI212,3,0.2,Imaging,240,5,3
