Wavelength (m) ,E_ph (J),a0v,a5v,f5v,g0v,g5v,k0v,k5v,m0v,m5v
2.500E-07,7.946E-19,4.014E-02,2.096E-02,6.508E-03,5.434E-03,1.862E-03,1.362E-04,7.353E-05,8.703E-05,1.378E-04
2.510E-07,7.914E-19,4.007E-02,2.021E-02,6.222E-03,4.911E-03,1.695E-03,1.431E-04,6.760E-05,1.079E-04,1.708E-04
2.520E-07,7.883E-19,3.814E-02,1.947E-02,5.937E-03,4.389E-03,1.330E-03,1.168E-04,4.115E-05,8.443E-05,1.337E-04
2.530E-07,7.852E-19,3.462E-02,1.773E-02,5.251E-03,3.996E-03,1.373E-03,1.607E-04,8.089E-05,1.063E-04,1.683E-04
2.540E-07,7.821E-19,3.368E-02,1.600E-02,4.565E-03,3.604E-03,1.686E-03,2.270E-04,7.853E-05,1.557E-04,2.465E-04
2.550E-07,7.790E-19,3.336E-02,1.761E-02,4.920E-03,4.572E-03,1.901E-03,2.491E-04,8.624E-05,1.615E-04,2.558E-04
2.560E-07,7.760E-19,3.848E-02,1.923E-02,5.274E-03,5.538E-03,2.669E-03,2.310E-04,1.077E-04,1.495E-04,2.367E-04
2.570E-07,7.729E-19,3.977E-02,2.057E-02,6.506E-03,6.559E-03,3.809E-03,2.574E-04,9.569E-05,1.802E-04,2.853E-04
2.580E-07,7.699E-19,3.908E-02,2.192E-02,7.738E-03,7.580E-03,4.370E-03,2.145E-04,1.169E-05,9.786E-05,1.549E-04
2.590E-07,7.670E-19,3.903E-02,2.151E-02,7.896E-03,7.304E-03,4.175E-03,2.645E-04,1.104E-04,1.165E-04,1.844E-04
2.600E-07,7.640E-19,3.514E-02,2.111E-02,8.054E-03,7.028E-03,2.208E-03,2.998E-04,1.521E-04,1.311E-04,2.076E-04
2.610E-07,7.611E-19,3.666E-02,2.085E-02,7.446E-03,6.493E-03,2.514E-03,3.014E-04,1.862E-04,1.079E-04,1.708E-04
2.620E-07,7.582E-19,3.789E-02,2.060E-02,6.838E-03,5.957E-03,3.267E-03,3.224E-04,1.851E-04,2.360E-04,3.737E-04
2.630E-07,7.553E-19,3.674E-02,2.293E-02,8.070E-03,7.799E-03,2.520E-03,3.814E-04,2.134E-04,1.698E-04,2.689E-04
2.640E-07,7.524E-19,3.993E-02,2.526E-02,9.302E-03,9.642E-03,7.125E-03,5.422E-04,2.014E-04,4.115E-04,6.515E-04
2.650E-07,7.496E-19,4.130E-02,2.516E-02,1.130E-02,1.188E-02,5.763E-03,5.754E-04,1.728E-04,3.448E-04,5.460E-04
2.660E-07,7.468E-19,3.963E-02,2.506E-02,1.330E-02,1.411E-02,7.206E-03,6.240E-04,2.387E-04,3.795E-04,6.009E-04
2.670E-07,7.440E-19,3.877E-02,2.465E-02,1.326E-02,1.343E-02,6.757E-03,6.412E-04,3.045E-04,3.722E-04,5.893E-04
2.680E-07,7.412E-19,3.878E-02,2.425E-02,1.322E-02,1.276E-02,6.668E-03,6.350E-04,2.491E-04,3.390E-04,5.367E-04
2.690E-07,7.385E-19,3.793E-02,2.402E-02,1.321E-02,1.283E-02,6.262E-03,6.455E-04,2.515E-04,3.468E-04,5.491E-04
2.700E-07,7.357E-19,3.738E-02,2.380E-02,1.320E-02,1.291E-02,7.498E-03,6.467E-04,2.764E-04,3.553E-04,5.625E-04
2.710E-07,7.330E-19,3.677E-02,2.398E-02,1.275E-02,1.266E-02,6.991E-03,7.304E-04,3.111E-04,3.531E-04,5.591E-04
2.720E-07,7.303E-19,3.708E-02,2.416E-02,1.230E-02,1.242E-02,4.277E-03,6.077E-04,2.830E-04,2.810E-04,4.448E-04
2.730E-07,7.276E-19,3.783E-02,2.286E-02,1.214E-02,1.099E-02,7.109E-03,6.806E-04,3.485E-04,2.800E-04,4.433E-04
2.740E-07,7.250E-19,3.662E-02,2.156E-02,1.197E-02,9.567E-03,3.772E-03,5.874E-04,3.866E-04,3.510E-04,5.557E-04
2.750E-07,7.223E-19,3.300E-02,2.168E-02,1.104E-02,9.318E-03,3.963E-03,6.342E-04,4.002E-04,3.644E-04,5.769E-04
2.760E-07,7.197E-19,3.658E-02,2.179E-02,1.011E-02,9.070E-03,6.685E-03,8.096E-04,3.949E-04,4.909E-04,7.772E-04
2.770E-07,7.171E-19,3.575E-02,2.129E-02,1.123E-02,1.002E-02,6.605E-03,9.171E-04,3.946E-04,5.197E-04,8.228E-04
2.780E-07,7.145E-19,3.594E-02,2.078E-02,1.235E-02,1.098E-02,4.683E-03,8.504E-04,4.111E-04,5.660E-04,8.961E-04
2.790E-07,7.120E-19,3.686E-02,2.026E-02,9.389E-03,7.436E-03,3.141E-03,6.956E-04,1.301E-03,8.495E-04,1.345E-03
2.800E-07,7.094E-19,3.224E-02,1.973E-02,6.427E-03,3.895E-03,2.123E-03,6.849E-04,2.130E-03,2.461E-03,3.896E-03
2.810E-07,7.069E-19,3.784E-02,2.156E-02,8.592E-03,7.278E-03,4.408E-03,7.521E-04,8.032E-04,1.191E-03,1.885E-03
2.820E-07,7.044E-19,3.819E-02,2.338E-02,1.076E-02,1.066E-02,7.300E-03,1.064E-03,5.035E-04,4.411E-04,6.984E-04
2.830E-07,7.019E-19,3.697E-02,2.422E-02,1.299E-02,1.209E-02,8.717E-03,1.108E-03,4.228E-04,5.321E-04,8.425E-04
2.840E-07,6.995E-19,3.593E-02,2.506E-02,1.523E-02,1.351E-02,8.560E-03,1.010E-03,4.623E-04,5.531E-04,8.757E-04
2.850E-07,6.970E-19,3.534E-02,2.434E-02,1.490E-02,1.302E-02,2.937E-03,5.500E-04,3.416E-04,6.831E-04,1.081E-03
2.860E-07,6.946E-19,3.546E-02,2.362E-02,1.458E-02,1.252E-02,8.022E-03,7.080E-04,4.650E-04,6.697E-04,1.060E-03
2.870E-07,6.921E-19,3.531E-02,2.389E-02,1.519E-02,1.316E-02,9.328E-03,1.279E-03,6.256E-04,6.943E-04,1.099E-03
2.880E-07,6.897E-19,3.552E-02,2.416E-02,1.580E-02,1.380E-02,5.944E-03,1.349E-03,5.956E-04,7.275E-04,1.152E-03
